鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中正區,房地(土地+建物),臺北市中正區惠安街31~60號,22.98,住,,,1090218,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700422,97.82,3,2,1,有,無,12000000,122674,,0.0,0,含增建或未登記建物。;,RPPNMLOLLHPFFAA57CA
文山區,房地(土地+建物)+車位,臺北市文山區指南路三段1~30號,41.76,住,,,1090301,土地1建物1車位1,九層，十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001101,207.43,3,2,2,有,有,34150000,164634,塔式車位,25.89,0,含增建或未登記建物。;,RPQNMLOLLHPFFAA67CA
文山區,房地(土地+建物),臺北市文山區興隆路四段29巷4弄1~30號,33.65,住,,,1090304,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710629,111.35,3,2,2,有,無,5200000,46700,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等間買賣,RPRNMLOLLHPFFAA77CA
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路六段61~90號,37.03,住,,,1090217,土地1建物1車位4,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860514,186.03,3,2,2,有,有,19300000,103747,坡道機械,0.0,0,含增建或未登記建物。;,RPSNMLOLLHPFFAA87CA
文山區,房地(土地+建物),臺北市文山區辛亥路七段84巷1~30號,23.98,住,,,1090212,土地2建物1車位0,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0891025,92.56,2,2,2,有,有,14560000,157303,,0.0,0,含增建或未登記建物。;,RPVNMLOLLHPFFAA18CA
文山區,房地(土地+建物),臺北市文山區景豐街31~60號,13.55,住,,,1090113,土地1建物1車位0,地下一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0831227,58.09,2,0,2,有,有,5300000,91238,,0.0,0,含增建或未登記建物。;,RPXNMLOLLHPFFAA38CA
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段95巷31~60號,54.2,住,,,1090211,土地2建物1車位1,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790823,226.29,5,3,3,有,有,23250000,102744,坡道平面,0.0,0,含增建或未登記建物。;,RPOOMLOLLHPFFAA57CA
文山區,房地(土地+建物),臺北市文山區樟新街5巷1~30號,34.16,住,,,1090212,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800420,129.73,4,2,2,有,無,18800000,144916,,0.0,0,含增建或未登記建物。;,RPPOMLPLLHPFFAA77CA
文山區,房地(土地+建物),臺北市文山區興隆路一段55巷1~30號,38.5,住,,,1090119,土地1建物1車位0,陽台，三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601009,110.42,8,0,8,有,無,14250000,129053,,0.0,0,含增建或未登記建物。;,RPROMLPLLHPFFAA97CA
