鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物),臺中市北屯區平德路181~210號,73.0,住,,,1090227,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0760126,103.92,4,2,2,有,無,14000000,134719,,0.0,0,,RPVPMLOLLHPFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區松竹路三段91~120號,27.99,商,,,1081027,土地1建物1車位2,五層,二十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070627,363.53,3,2,3,有,有,29280000,87740,坡道平面,56.03,2300000,,RPUQMLOLLHPFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區祥順路一段421~450號,24.99,住,,,1090226,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061123,206.17000000000002,4,2,2,有,有,11350000,55052,坡道平面,41.26,0,,RPPNMLOLLHPFFBB77CA
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德路二段451~480號,21.09,住,,,1081226,土地1建物1車位1,十層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0931110,225.78000000000003,4,2,2,有,有,15500000,68651,坡道平面,32.69,0,,RPWPMLQLLHPFFBB88CA
北屯區,房地(土地+建物),臺中市北屯區國校巷31~60號,5.21,住,,,1090306,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800430,27.32,1,0,1,有,有,1330000,48682,,0.0,0,,RPXPMLQLLHPFFBB98CA
北屯區,房地(土地+建物),臺中市北屯區松竹路一段871~900號,105.36,商,,,1090216,土地3建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,0930414,301.32,5,3,4,有,無,26380000,87548,,0.0,0,,RPPQMLQLLHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段61~90號,13.62,商,,,1090301,土地1建物1車位1,十一層,二十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060420,174.33,3,2,2,有,有,13100000,86232,坡道平面,36.33,1200000,,RPVSMLQLLHPFFBB09CA
北屯區,房地(土地+建物),臺中市北屯區經貿二路貿易巷19弄1~30號,61.21,住,,,1081222,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0611031,52.38,2,1,1,有,無,7610000,145284,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXNMLKMLHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區太原路三段1321~1350號,20.53,住,,,1090218,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,142.74,3,2,2,有,有,7900000,55345,坡道平面,25.81,0,,RPSNMLNKMHPFFBB97CA
南屯區,房地(土地+建物),臺中市南屯區嶺東路901~930號,7.37,住,,,1090305,土地1建物1車位0,九層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810115,42.16,1,0,1,有,無,1720000,40797,,0.0,0,,RPTPMLOLLHPFFCB48CA
西屯區,房地(土地+建物),臺中市西屯區河南路二段74巷3弄1~30號,99.0,住,,,1081213,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0760420,143.39,4,2,3,有,無,11000000,76714,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVNMLPLLHPFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,13.65,住,,,1090303,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960426,124.05,2,2,1,有,有,8600000,69327,坡道平面,26.45,0,,RPRRMLRKMHPFFCB78CA
清水區,土地,光華段301~330地號,77.33,其他,,,1090218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720000,9311,,0.0,0,包含公共設施保留地之交易。;,RPWPMLOLLHPFFFB09CA
太平區,土地,壽平段1231~1260地號,50.0,其他,,,1090227,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,12000,,0.0,0,包含公共設施保留地之交易。;,RPOOMLOLLHPFFJB58CA
太平區,房地(土地+建物),臺中市太平區立功路91~120號,12.03,住,,,1090222,土地1建物1車位0,一層，二層，騎樓,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810526,90.36999999999999,2,1,2,有,有,4500000,49795,,0.0,0,,RPRNMLQLLHPFFJB98CA
西屯區,房地(土地+建物),臺中市西屯區福聯街22巷1~30號,3.09,住,,,1090229,土地1建物1車位0,十一層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830930,20.13,0,0,0,無,有,950000,47193,,0.0,0,,RPRPMLRKMHPFFCB68DA
東勢區,房地(土地+建物),臺中市東勢區東蘭路61~90號,74.09,農,,,1081230,土地2建物1車位0,全,二層,透天厝,農舍,加強磚造,0691103,131.57,3,2,2,有,無,3500000,26602,,0.0,0,,RPRNMLOLLHPFFGB58DA
霧峰區,房地(土地+建物),臺中市霧峰區四德路451~480號,186.18,,特定農業區,甲種建築用地,1090220,土地1建物1車位0,全,三層,透天厝,農舍,鋼筋混凝土造,0781222,301.65,6,4,4,有,無,2300000,7625,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUQMLQLLHPFFIB96DA
潭子區,土地,東寶一段1231~1260地號,2415.45,農,,,1090222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35000000,14490,,0.0,0,,RPPNMLOLLHPFFHB48DA
大肚區,土地,文昌段781~810地號,26.41,農,,,1090225,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,4544,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLLLMHPFFKB58DA
北區,房地(土地+建物),臺中市北區博館一街46巷1~30號,26.22,住,,,1090213,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690516,54.49,3,1,1,有,無,4100000,75243,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLLMLHPFFBB38DA
西屯區,房地(土地+建物),臺中市西屯區長安路二段71巷1~30號,98.0,住,,,1090207,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0670626,116.04,3,1,1,有,無,6600000,56877,,0.0,0,親友、員工或其他特殊關係間之交易。;土地增值稅、印花稅、契稅、登記規費等由買方負擔。,RPQNMLLMLHPFFCB87DA
大安區,土地,安行段811~840地號,16.12,,特定農業區,甲種建築用地,1090104,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,195000,12097,,0.0,0,親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,RPPNMLQKMHPFFEB38DA
龍井區,房地(土地+建物),臺中市龍井區龍港路349巷58弄1~30號,85.89,住,,,1071108,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1081120,163.91,3,3,3,有,無,6580000,40144,,0.0,0,本案私契立約日預售契約日為民國107年11月8日，公定契約原因日為民國109年3月9日。,RPTNMLQLLHPFFKB66CA
龍井區,房地(土地+建物),臺中市龍井區臺西南路256巷30弄1~30號,4904.61,工,,,1081214,土地4建物2車位0,一層，二層，電梯樓梯間，地下層,二層,工廠,見其他登記事項,見其他登記事項,0820505,4313.58,0,0,0,無,無,160000000,,,0.0,0,,RPQNMLSLLHPFFKB56CA
龍井區,土地,龍井段竹坑小段121~150地號,281.49,住,,,1090210,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5790160,20570,,0.0,0,包含公共設施保留地之交易。;,RPROMLLJMHPFFKB58CA
太平區,房地(土地+建物),臺中市太平區育誠街1~30號,79.19,住,,,1090221,土地3建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1021113,248.94,6,4,5,有,無,17400000,69896,,0.0,0,,RPQOMLOLLHPFFJB78CA
太平區,房地(土地+建物),臺中市太平區樹孝路115巷1~30號,15.46,住,,,1090211,土地3建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810825,124.58,3,2,2,有,有,5000000,40135,,0.0,0,,RPSOMLRLLHPFFJB66CA
太平區,土地,永豐段481~510地號,96.68,住,,,1090203,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1160515,12004,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLLJMHPFFJB18CA
太平區,土地,新光段991~1020地號,6.51,住,,,1090213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,161764,24849,,0.0,0,,RPPNMLQJMHPFFJB68CA
太平區,土地,新光段961~990地號,0.26,其他,,,1090213,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1820,0,,0.0,0,包含公共設施保留地之交易。;,SPPNMLQJMHPFFJB78CA
太平區,房地(土地+建物),臺中市太平區長億一街61~90號,71.69,住,,,1090210,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0810510,201.61,4,2,3,有,無,8150000,40425,,0.0,0,,RPRNMLTJMHPFFJB56CA
霧峰區,土地,中正段481~510地號,7939.33,農,,,1081210,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84057400,10587,,0.0,0,,RPSOMLQJMHPFFIB98CA
霧峰區,房地(土地+建物),臺中市霧峰區四德路275巷66弄1~30號,64.38,,鄉村區,乙種建築用地,1090221,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0680731,75.32,2,2,2,有,無,4300000,57090,,0.0,0,含增建或未登記建物。;,RPOOMLMKMHPFFIB28CA
大里區,房地(土地+建物)+車位,臺中市大里區祥興路571~600號,13.36,住,,,1090223,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081216,83.16,2,1,1,有,有,5900000,70948,坡道機械,16.53,0,,RPPPMLNKMHPFFIB58CA
梧棲區,房地(土地+建物),臺中市梧棲區居仁街60巷1~30號,30.08,住,,,1090223,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0720203,65.05,3,1,1,有,無,739472,11368,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPXPMLOLLHPFFFB56CA
清水區,房地(土地+建物),臺中市清水區高美路541~570號,178.86,農,,,1090227,土地1建物1車位0,全,二層,透天厝,農舍,加強磚造,0640204,150.0,4,1,2,有,無,707238,4715,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOQMLOLLHPFFFB38CA
