鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
鼓山區,房地(土地+建物),高雄市鼓山區九如四路1991巷1弄1~30號,19.72,住,,,1090218,土地2建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710818,75.18,3,2,1,有,無,3700000,49215,,0.0,0,含增建或未登記建物。;,RPXNMLNLLHPFFAE68CA
前金區,房地(土地+建物),高雄市前金區中山二路571~600號,4.88,商,,,1090312,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0681205,47.56,1,1,1,有,有,1400000,29437,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQPMLNLLHPFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區中華一路1~30號,25.77,住,,,1090229,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0751024,114.6,3,2,1,有,無,3000000,26178,,0.0,0,,RPRNMLOLLHPFFAE18CA
前金區,房地(土地+建物),高雄市前金區新田路194巷1~30號,59.0,住,,,1090207,土地2建物1車位0,全,二層,透天厝,,加強磚造,0470610,69.61,2,1,2,有,無,7800000,112053,,0.0,0,,RPQNMLPLLHPFFAE18CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路31~60號,6.58,商,,,1090312,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),,鋼筋混凝土造,0680831,44.35,2,1,1,有,有,1453000,32762,,0.0,0,,RPPOMLKMLHPFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區文忠路91~120號,7.17,商,,,1090219,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940520,68.63,2,2,1,有,有,4550000,66298,,0.0,0,,RPQNMLMJMHPFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍德路331~360號,13.9,商,,,1090213,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950203,150.36,4,2,2,有,有,11100000,73823,坡道平面,0.0,0,,RPRNMLPKMHPFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路1~30號,31.54,住,,,1090217,土地1建物1車位2,四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030225,393.63,4,2,3,有,有,22380000,58702,坡道平面,60.08,2800000,,RPQNMLSKMHPFFAE48CA
苓雅區,房地(土地+建物),高雄市苓雅區廣東一街69巷1~30號,41.9,住,,,1090307,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720714,145.42,4,2,2,有,無,5057200,34777,,0.0,0,含增建或未登記建物。;,RPRNMLPLLHPFFBE38CA
新興區,房地(土地+建物),高雄市新興區林森一路241~270號,2.96,商,,,1090306,土地2建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0660627,25.259999999999998,1,0,1,有,有,1200000,47506,,0.0,0,,RPXNMLPLLHPFFBE98CA
苓雅區,房地(土地+建物),高雄市苓雅區河南路11巷31~60號,82.0,住,,,1090309,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,0841207,208.63,5,2,5,有,無,13360000,64037,,0.0,0,,RPOOMLPLLHPFFBE18CA
苓雅區,房地(土地+建物),高雄市苓雅區武慶三路186巷1~30號,58.0,商,,,1090214,土地1建物1車位0,全,二層,透天厝,,加強磚造,0610524,81.77,2,1,4,有,無,6600000,80714,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLQLLHPFFBE38CA
新興區,房地(土地+建物),高雄市新興區八德二路1~30號,3.45,商,,,1090305,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0700819,26.78,1,0,1,有,有,1080000,40329,,0.0,0,含增建或未登記建物。;,RPXOMLQLLHPFFBE56CA
苓雅區,房地(土地+建物),高雄市苓雅區四維四路151~180號,3.51,商,,,1090308,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0780511,38.75,1,1,1,有,有,1450000,37419,,0.0,0,,RPROMLKMLHPFFBE08CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區民權一路39巷1~30號,25.56,住,,,1090309,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1081223,146.56,3,2,2,有,有,10900000,67226,其他,5.99,1450000,,RPWNMLQJMHPFFBE88CA
苓雅區,房地(土地+建物),高雄市苓雅區凱旋三路481~510號,19.27,住,,,1090301,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680227,55.8,3,1,1,有,無,2600000,46595,,0.0,0,含增建或未登記建物。;,RPSOMLSJMHPFFBE78CA
苓雅區,房地(土地+建物),高雄市苓雅區澄清路33巷1~30號,26.8,住,,,1090222,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0691201,60.52,3,2,2,有,無,4300000,71051,,0.0,0,陽台未登記，附贈沙發、床組、桌椅、小茶几等家具,RPVOMLNKMHPFFBE68CA
前鎮區,建物,高雄市前鎮區高雄加工出口區東12街1~30號,0.0,,,,1090316,土地0建物12車位0,三層,三層,廠辦,工業用,見使用執照,0580320,7146.84,0,0,0,無,有,54000000,7556,,0.0,0,,RPXOMLOLLHPFFCE09CA
小港區,房地(土地+建物),高雄市小港區孔宅二街181~210號,79.67,住,,,1090114,土地2建物1車位0,全,三層,透天厝,見其它登記事項,見其它登記事項,1080920,165.11,4,2,3,有,無,12180000,73769,,0.0,0,,RPPNMLPLLHPFFCE28CA
前鎮區,房地(土地+建物),高雄市前鎮區瑞隆路451~480號,29.19,商,,,1090108,土地2建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821118,179.12,4,2,2,有,有,7000000,39080,,0.0,0,,RPQNMLPLLHPFFCE38CA
小港區,土地,桂林段91~120地號,179.0,住,,,1090117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12720000,71061,,0.0,0,,RPROMLKMLHPFFCE18CA
小港區,土地,港和段二小段181~210地號,91.0,商,,,1090205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,54945,,0.0,0,含增建或未登記建物。;,RPTOMLNKMHPFFCE58CA
三民區,房地(土地+建物),高雄市三民區大昌一路301巷6弄1~30號,190.09,工,,,1081210,土地5建物1車位0,一層，二層，三層，見其它登記事項,三層,廠辦,見其它登記事項,鋼筋混凝土造,1030114,341.47,4,2,3,有,有,33500000,98105,,0.0,0,,RPVOMLNLLHPFFDE88CA
三民區,房地(土地+建物)+車位,高雄市三民區明誠二路1~30號,24.47,住,,,1090223,土地1建物1車位1,二層，電梯樓梯間,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840518,167.57999999999998,4,2,2,有,有,8200000,48932,坡道平面,0.0,0,,RPPNMLOLLHPFFDE28CA
