鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區華東街271~300號,9.79,住,,,1090111,土地2建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050205,115.67,2,2,1,有,無,17900000,171875,坡道平面,22.87,1950000,本案尚未成立管理委員會.,RPVSMLNLLHPFFAF09CA
板橋區,房地(土地+建物),新北市板橋區懷德街181巷1~30號,35.58,住,,,1090114,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,130.31,6,4,4,有,無,15800000,121249,,0.0,0,頂樓及陽台增建。,RPOTMLNLLHPFFAF48CA
板橋區,房地(土地+建物),新北市板橋區貴興路61~90號,18.4,住,,,1090202,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,70.86,2,2,1,有,無,7500000,105843,,0.0,0,,RPSNMLOLLHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區中山路一段283巷2弄1~30號,22.25,住,,,1090304,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0630919,70.3,3,2,2,有,無,8300000,118065,,0.0,0,含增建或未登記建物。;,RPUNMLOLLHPFFAF58CA
板橋區,房地(土地+建物),新北市板橋區文化路一段301~330號,32.74,住,,,1090223,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950109,171.44,3,2,2,有,有,24160000,140924,,0.0,0,,RPVNMLOLLHPFFAF68CA
板橋區,房地(土地+建物),新北市板橋區仁化街166巷1~30號,28.3,住,,,1090209,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771118,106.72,3,2,2,有,無,11450000,107290,,0.0,0,含增建或未登記建物。;,RPXNMLOLLHPFFAF88CA
板橋區,房地(土地+建物),新北市板橋區民安街1~30號,26.6,其他,,,1081227,土地1建物1車位0,一層，騎樓,五層,店面(店鋪),工業用,鋼筋混凝土造,0701204,99.13,1,1,1,有,無,28500000,287501,,0.0,0,含增建或未登記建物。;,RPSQMLOLLHPFFAF68CA
板橋區,房地(土地+建物),新北市板橋區四川路一段181~210號,31.45,住,,,1090305,土地2建物2車位0,七層，見其他登記事項,七層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1071009,155.21,1,1,1,有,有,23200000,149475,,0.0,0,,RPVQMLOLLHPFFAF98CA
板橋區,車位,新北市板橋區中正路91~120號,0.12,住,,,1080429,土地0建物0車位1,,,其他,,,,33.95,0,0,0,有,有,2100000,,坡道平面,33.95,2100000,單獨車位交易。;,RPORMLOLLHPFFAF38CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,1.84,住,,,1090206,土地1建物1車位0,二十八層,四十層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,37.11,1,1,1,有,有,8800000,237133,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPPMLPLLHPFFAF38CA
板橋區,車位,新北市板橋區吳鳳路50巷61~90號,0.21,住,,,1090310,土地0建物0車位1,,,其他,,,,22.06,0,0,0,有,有,1350000,,坡道機械,22.05,1350000,,RPRQMLPLLHPFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區中正路91~120號,24.66,住,,,1090210,土地1建物1車位1,二十一層,二十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050715,215.64,0,0,0,無,有,35000000,162308,坡道平面,33.95,0,,RPVQMLPLLHPFFAF09CA
板橋區,房地(土地+建物),新北市板橋區四川路二段99巷4弄1~30號,20.2,住,,,1090312,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,82.5,2,2,1,有,無,12200000,147879,,0.0,0,含增建或未登記建物。;,RPQRMLPLLHPFFAF68CA
