鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
桃園區,車位,桃園市桃園區慈文路419﹐421﹐425﹐427﹐431﹐421~450號,0.29,住,,,1090208,土地0建物0車位1,地下三層,十三層,其他,見其他登記事項,鋼筋混凝土造,0800610,35.85,0,0,0,有,有,1000000,,坡道平面,35.85,1000000,,RPWTMLNLLHPFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中正五街121~150號,9.4,住,,,1090309,土地1建物1車位1,一層，騎樓,九層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870804,98.77000000000001,0,0,1,有,有,8700000,88083,坡道平面,0.0,0,,RPWNMLOLLHPFFAH98CA
桃園區,房地(土地+建物)+車位,桃園市桃園區民安路73巷1~30號,48.79,住,,,1090218,土地1建物2車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780123,274.19,4,2,3,有,有,10100000,36836,坡道平面,29.85,0,,RPQOMLOLLHPFFAH48CA
桃園區,土地,桃園段長美小段91~120地號,2.07,其他,,,1090221,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104000,50242,,0.0,0,,RPTRMLOLLHPFFAH09CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中埔二街31~60號,15.36,住,,,1090226,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940425,176.38,4,2,2,有,有,13500000,76539,坡道平面,0.0,0,,RPURMLOLLHPFFAH56CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中正五街121~150號,9.35,住,,,1090309,土地1建物1車位1,一層，騎樓,九層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0870804,96.34,0,0,0,無,有,7800000,80963,坡道平面,0.0,0,,RPUSMLOLLHPFFAH66CA
桃園區,房地(土地+建物)+車位,桃園市桃園區敬三街190巷1~30號,18.72,住,,,1090217,土地1建物2車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830908,142.67,3,2,2,有,有,7000000,49064,坡道平面,0.0,0,,RPXTMLOLLHPFFAH07CA
桃園區,房地(土地+建物)+車位,桃園市桃園區國豐五街1~30號,25.38,住,,,1090222,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961030,160.47,3,2,2,有,有,9310000,58017,坡道平面,0.0,0,,RPPNMLPLLHPFFAH38CA
桃園區,房地(土地+建物),桃園市桃園區鴻撫街1~30號,25.18,住,,,1090312,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0841213,56.879999999999995,2,2,1,有,無,2920000,51336,,0.0,0,,RPXQMLPLLHPFFAH86CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路61~90號,21.36,住,,,1090313,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,160.60000000000002,3,2,2,有,有,12570000,80355,坡道平面,26.57,1800000,,RPWNMLQLLHPFFAH56CA
桃園區,房地(土地+建物),桃園市桃園區新埔八街91~120號,14.4,住,,,1090116,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841215,79.13,2,2,1,有,有,5200000,65715,,0.0,0,,RPPQMLQLLHPFFAH78CA
桃園區,房地(土地+建物)+車位,桃園市桃園區文中三路1~30號,10.48,住,,,1090306,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081015,90.75999999999999,1,2,1,有,有,6500000,74778,坡道平面,26.57,1700000,,RPQNMLRLLHPFFAH68CA
桃園區,房地(土地+建物),桃園市桃園區寶山街58巷1~30號,17.9,住,,,1090309,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830820,119.03,3,1,2,有,有,5000000,42006,,0.0,0,,RPXNMLRLLHPFFAH76CA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路336巷1~30號,37.78,住,,,1090222,土地1建物1車位2,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060713,254.05,3,2,2,有,有,20000000,96477,坡道平面,72.66,2500000,,RPSPMLRLLHPFFAH09CA
